HourUTC;HourDK;PriceArea;SpotPriceDKK;SpotPriceEUR,,
2019-12-31 23:00;2020-01-01 00:00;DK1;249,649994;33,419998
2020-01-01 00:00;2020-01-01 01:00;DK1;237,330002;31,770000
2020-01-01 01:00;2020-01-01 02:00;DK1;235,830002;31,570000
2020-01-01 02:00;2020-01-01 03:00;DK1;233,660004;31,280001
2020-01-01 03:00;2020-01-01 04:00;DK1;230,449997;30,850000
2020-01-01 04:00;2020-01-01 05:00;DK1;225,149994;30,139999
2020-01-01 05:00;2020-01-01 06:00;DK1;225,369995;30,170000
2020-01-01 06:00;2020-01-01 07:00;DK1;224,100006;30,0
2020-01-01 07:00;2020-01-01 08:00;DK1;228,809998;30,629999
2020-01-01 08:00;2020-01-01 09:00;DK1;228,509995;30,590000
2020-01-01 09:00;2020-01-01 10:00;DK1;226,119995;30,270000
2020-01-01 10:00;2020-01-01 11:00;DK1;226,639999;30,340000
2020-01-01 11:00;2020-01-01 12:00;DK1;228,509995;30,590000
2020-01-01 12:00;2020-01-01 13:00;DK1;224,399994;30,40001
2020-01-01 13:00;2020-01-01 14:00;DK1;228,589996;30,600000
2020-01-01 14:00;2020-01-01 15:00;DK1;232,250000;31,90000
2020-01-01 15:00;2020-01-01 16:00;DK1;235,529999;31,530001
2020-01-01 16:00;2020-01-01 17:00;DK1;237,399994;31,780001
2020-01-01 17:00;2020-01-01 18:00;DK1;236,350006;31,639999
2020-01-01 18:00;2020-01-01 19:00;DK1;234,860001;31,440001
2020-01-01 19:00;2020-01-01 20:00;DK1;234,190002;31,350000
2020-01-01 20:00;2020-01-01 21:00;DK1;232,100006;31,70000
2020-01-01 21:00;2020-01-01 22:00;DK1;231,270004;30,959999
2020-01-01 22:00;2020-01-01 23:00;DK1;228,660004;30,610001
2020-01-01 23:00;2020-01-02 00:00;DK1;229,929993;30,780001
2020-01-02 00:00;2020-01-02 01:00;DK1;228,889999;30,639999
2020-01-02 01:00;2020-01-02 02:00;DK1;227,320007;30,430000
2020-01-02 02:00;2020-01-02 03:00;DK1;215,070007;28,790001
2020-01-02 03:00;2020-01-02 04:00;DK1;212,300003;28,420000
2020-01-02 04:00;2020-01-02 05:00;DK1;214,770004;28,750000
2020-01-02 05:00;2020-01-02 06:00;DK1;249,360001;33,380001
2020-01-02 06:00;2020-01-02 07:00;DK1;237,479996;31,790001
2020-01-02 07:00;2020-01-02 08:00;DK1;237,779999;31,830000
2020-01-02 08:00;2020-01-02 09:00;DK1;237,100006;31,740000
2020-01-02 09:00;2020-01-02 10:00;DK1;236,279999;31,629999
2020-01-02 10:00;2020-01-02 11:00;DK1;233,970001;31,320000
2020-01-02 11:00;2020-01-02 12:00;DK1;232,100006;31,70000
2020-01-02 12:00;2020-01-02 13:00;DK1;232,020004;31,59999
2020-01-02 13:00;2020-01-02 14:00;DK1;232,100006;31,70000
2020-01-02 14:00;2020-01-02 15:00;DK1;233,520004;31,260000
2020-01-02 15:00;2020-01-02 16:00;DK1;234,639999;31,410000
2020-01-02 16:00;2020-01-02 17:00;DK1;234,559998;31,400000
2020-01-02 17:00;2020-01-02 18:00;DK1;232,320007;31,100000
2020-01-02 18:00;2020-01-02 19:00;DK1;229,710007;30,750000
2020-01-02 19:00;2020-01-02 20:00;DK1;227,619995;30,469999
2020-01-02 20:00;2020-01-02 21:00;DK1;224,850006;30,100000
2020-01-02 21:00;2020-01-02 22:00;DK1;221,940002;29,709999
2020-01-02 22:00;2020-01-02 23:00;DK1;186,679993;24,990000
2020-01-02 23:00;2020-01-03 00:00;DK1;141,429993;18,930000
2020-01-03 00:00;2020-01-03 01:00;DK1;74,559998;9,980000
2020-01-03 01:00;2020-01-03 02:00;DK1;11,430000;1,530000
2020-01-03 02:00;2020-01-03 03:00;DK1;1,050000;0,140000
2020-01-03 03:00;2020-01-03 04:00;DK1;6,350000;0,850000
2020-01-03 04:00;2020-01-03 05:00;DK1;74,110001;9,920000
2020-01-03 05:00;2020-01-03 06:00;DK1;182,889999;24,480000
2020-01-03 06:00;2020-01-03 07:00;DK1;199,330002;26,680000
2020-01-03 07:00;2020-01-03 08:00;DK1;215,240005;28,809999
2020-01-03 08:00;2020-01-03 09:00;DK1;218,750000;29,280001
2020-01-03 09:00;2020-01-03 10:00;DK1;215,539993;28,850000
2020-01-03 10:00;2020-01-03 11:00;DK1;237,580002;31,799999
2020-01-03 11:00;2020-01-03 12:00;DK1;227,039993;30,389999
2020-01-03 12:00;2020-01-03 13:00;DK1;225,919998;30,240000
2020-01-03 13:00;2020-01-03 14:00;DK1;225,550003;30,190001
2020-01-03 14:00;2020-01-03 15:00;DK1;227,119995;30,400000
2020-01-03 15:00;2020-01-03 16:00;DK1;227,720001;30,480000
2020-01-03 16:00;2020-01-03 17:00;DK1;227,419998;30,440001
2020-01-03 17:00;2020-01-03 18:00;DK1;225,330002;30,160000
2020-01-03 18:00;2020-01-03 19:00;DK1;222,860001;29,830000
2020-01-03 19:00;2020-01-03 20:00;DK1;215,839996;28,889999
2020-01-03 20:00;2020-01-03 21:00;DK1;206,949997;27,700001
2020-01-03 21:00;2020-01-03 22:00;DK1;192,000000;25,700001
2020-01-03 22:00;2020-01-03 23:00;DK1;164,660004;22,40001
2020-01-03 23:00;2020-01-04 00:00;DK1;162,380005;21,730000
2020-01-04 00:00;2020-01-04 01:00;DK1;119,190002;15,950000
2020-01-04 01:00;2020-01-04 02:00;DK1;121,279999;16,230000
2020-01-04 02:00;2020-01-04 03:00;DK1;48,200001;6,450000
2020-01-04 03:00;2020-01-04 04:00;DK1;28,620001;3,830000
2020-01-04 04:00;2020-01-04 05:00;DK1;0,900000;0,120000
2020-01-04 05:00;2020-01-04 06:00;DK1;0,520000;0,70000
2020-01-04 06:00;2020-01-04 07:00;DK1;142,509995;19,70000
2020-01-04 07:00;2020-01-04 08:00;DK1;130,699997;17,490000
2020-01-04 08:00;2020-01-04 09:00;DK1;179,199997;23,980000
2020-01-04 09:00;2020-01-04 10:00;DK1;65,760002;8,800000
2020-01-04 10:00;2020-01-04 11:00;DK1;134,139999;17,950001
2020-01-04 11:00;2020-01-04 12:00;DK1;145,720001;19,500000
2020-01-04 12:00;2020-01-04 13:00;DK1;102,680000;13,740000
2020-01-04 13:00;2020-01-04 14:00;DK1;130,179993;17,420000
2020-01-04 14:00;2020-01-04 15:00;DK1;152,300003;20,379999
2020-01-04 15:00;2020-01-04 16:00;DK1;187,419998;25,80000
2020-01-04 16:00;2020-01-04 17:00;DK1;215,809998;28,879999
2020-01-04 17:00;2020-01-04 18:00;DK1;239,279999;32,20000
2020-01-04 18:00;2020-01-04 19:00;DK1;264,160004;35,349998
2020-01-04 19:00;2020-01-04 20:00;DK1;224,029999;29,980000
2020-01-04 20:00;2020-01-04 21:00;DK1;224,559998;30,49999
2020-01-04 21:00;2020-01-04 22:00;DK1;224,860001;30,90000
2020-01-04 22:00;2020-01-04 23:00;DK1;283,589996;37,950001
2020-01-04 23:00;2020-01-05 00:00;DK1;247,369995;33,99998
2020-01-05 00:00;2020-01-05 01:00;DK1;241,240005;32,279999
2020-01-05 01:00;2020-01-05 02:00;DK1;233,020004;31,180000
2020-01-05 02:00;2020-01-05 03:00;DK1;224,949997;30,100000
2020-01-05 03:00;2020-01-05 04:00;DK1;223,899994;29,959999
2020-01-05 04:00;2020-01-05 05:00;DK1;223,300003;29,879999
2020-01-05 05:00;2020-01-05 06:00;DK1;227,039993;30,379999
2020-01-05 06:00;2020-01-05 07:00;DK1;232,789993;31,150000
2020-01-05 07:00;2020-01-05 08:00;DK1;239,820007;32,90000
2020-01-05 08:00;2020-01-05 09:00;DK1;233,020004;31,180000
2020-01-05 09:00;2020-01-05 10:00;DK1;236,160004;31,600000
2020-01-05 10:00;2020-01-05 11:00;DK1;235,779999;31,549999
2020-01-05 11:00;2020-01-05 12:00;DK1;233,320007;31,219999
2020-01-05 12:00;2020-01-05 13:00;DK1;231,149994;30,930000
2020-01-05 13:00;2020-01-05 14:00;DK1;229,210007;30,670000
2020-01-05 14:00;2020-01-05 15:00;DK1;230,100006;30,790001
2020-01-05 15:00;2020-01-05 16:00;DK1;232,869995;31,160000
2020-01-05 16:00;2020-01-05 17:00;DK1;235,630005;31,530001
2020-01-05 17:00;2020-01-05 18:00;DK1;232,419998;31,100000
2020-01-05 18:00;2020-01-05 19:00;DK1;227,339996;30,420000
2020-01-05 19:00;2020-01-05 20:00;DK1;223,229996;29,870001
2020-01-05 20:00;2020-01-05 21:00;DK1;221,279999;29,610001
2020-01-05 21:00;2020-01-05 22:00;DK1;220,160004;29,459999
2020-01-05 22:00;2020-01-05 23:00;DK1;199,389999;26,680000
2020-01-05 23:00;2020-01-06 00:00;DK1;217,919998;29,160000
2020-01-06 00:00;2020-01-06 01:00;DK1;216,729996;29,0
2020-01-06 01:00;2020-01-06 02:00;DK1;217,320007;29,80000
2020-01-06 02:00;2020-01-06 03:00;DK1;207,160004;27,719999
